city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
六盘水,2022-06-01,141.0,809.0,270.0,51.0,0.0,18.0,196.0,717.0,0.0,658.0,964.0,580.0,0.0,484.0,875.0,374.0,320.0,27.0,13.0,36.0,46.0,27.0,0.0,0.0,0.0,1219.0,983.0,0.0,1343.0,154.0,242.0,463.0,0.0
六盘水,2022-07-01,107.0,647.0,129.0,28.0,0.0,17.0,108.0,467.0,0.0,455.0,596.0,452.0,0.0,361.0,611.0,249.0,175.0,18.0,15.0,31.0,29.0,14.0,0.0,0.0,0.0,735.0,768.0,0.0,781.0,167.0,191.0,364.0,0.0
六盘水,2022-08-01,106.0,939.0,226.0,44.0,0.0,2.0,93.0,681.0,0.0,433.0,955.0,703.0,0.0,457.0,859.0,328.0,291.0,8.0,27.0,54.0,54.0,13.0,0.0,0.0,0.0,1110.0,981.0,0.0,1169.0,112.0,314.0,496.0,0.0
六盘水,2022-09-01,132.0,880.0,285.0,34.0,0.0,10.0,383.0,715.0,0.0,973.0,900.0,566.0,0.0,701.0,846.0,468.0,293.0,33.0,23.0,33.0,14.0,28.0,0.0,0.0,0.0,1202.0,1237.0,0.0,1574.0,140.0,212.0,513.0,0.0
六盘水,2022-10-01,198.0,784.0,208.0,31.0,0.0,40.0,134.0,667.0,0.0,769.0,803.0,490.0,0.0,492.0,790.0,396.0,301.0,32.0,11.0,8.0,12.0,20.0,0.0,0.0,0.0,1054.0,1008.0,0.0,1270.0,176.0,152.0,464.0,0.0
六盘水,2022-11-01,154.0,784.0,266.0,28.0,0.0,17.0,174.0,637.0,0.0,501.0,823.0,736.0,0.0,477.0,879.0,304.0,289.0,26.0,6.0,47.0,25.0,7.0,0.0,0.0,0.0,1096.0,964.0,0.0,1319.0,117.0,165.0,459.0,0.0
六盘水,2022-12-01,55.0,889.0,205.0,51.0,0.0,8.0,392.0,641.0,11.0,755.0,913.0,562.0,0.0,655.0,793.0,385.0,231.0,8.0,37.0,38.0,82.0,12.0,0.0,0.0,0.0,1071.0,1170.0,0.0,1307.0,124.0,292.0,507.0,11.0
六盘水,2023-01-01,130.0,677.0,157.0,45.0,0.0,15.0,395.0,643.0,0.0,833.0,784.0,445.0,0.0,660.0,833.0,242.0,187.0,20.0,15.0,33.0,34.0,38.0,0.0,0.0,0.0,941.0,1121.0,0.0,1276.0,101.0,215.0,470.0,0.0
六盘水,2023-02-01,87.0,901.0,200.0,21.0,0.0,3.0,136.0,780.0,0.0,537.0,867.0,724.0,0.0,503.0,903.0,338.0,220.0,7.0,35.0,61.0,55.0,6.0,0.0,0.0,0.0,1127.0,1001.0,0.0,1209.0,113.0,236.0,570.0,0.0
六盘水,2023-03-01,108.0,806.0,272.0,33.0,0.0,1.0,93.0,556.0,14.0,487.0,826.0,542.0,0.0,468.0,714.0,295.0,210.0,37.0,36.0,60.0,28.0,21.0,0.0,0.0,0.0,994.0,875.0,0.0,1036.0,142.0,288.0,389.0,14.0
六盘水,2023-04-01,91.0,841.0,283.0,38.0,0.0,7.0,236.0,771.0,17.0,506.0,1087.0,657.0,0.0,442.0,899.0,429.0,348.0,40.0,2.0,12.0,59.0,36.0,0.0,0.0,0.0,1336.0,931.0,0.0,1497.0,91.0,219.0,443.0,17.0
六盘水,2023-05-01,76.0,800.0,171.0,47.0,0.0,21.0,392.0,705.0,13.0,859.0,928.0,412.0,0.0,637.0,862.0,321.0,289.0,9.0,6.0,26.0,37.0,25.0,0.0,0.0,0.0,1114.0,1098.0,0.0,1392.0,129.0,252.0,426.0,13.0
六盘水,2023-06-01,150.0,819.0,272.0,25.0,0.0,23.0,81.0,747.0,15.0,548.0,1025.0,529.0,0.0,372.0,867.0,427.0,314.0,25.0,28.0,30.0,38.0,16.0,0.0,0.0,0.0,1236.0,881.0,0.0,1239.0,136.0,261.0,466.0,15.0
六盘水,2023-07-01,118.0,739.0,283.0,19.0,0.0,23.0,214.0,665.0,17.0,731.0,787.0,526.0,0.0,524.0,783.0,372.0,269.0,16.0,37.0,13.0,45.0,2.0,0.0,0.0,0.0,1116.0,945.0,0.0,1269.0,154.0,226.0,395.0,17.0
六盘水,2023-08-01,107.0,758.0,243.0,45.0,0.0,10.0,326.0,748.0,32.0,691.0,857.0,657.0,0.0,691.0,818.0,346.0,244.0,35.0,6.0,19.0,48.0,30.0,0.0,0.0,0.0,1158.0,1079.0,0.0,1547.0,123.0,186.0,349.0,32.0
六盘水,2023-09-01,98.0,1047.0,210.0,28.0,0.0,35.0,258.0,826.0,37.0,889.0,1000.0,576.0,0.0,628.0,1085.0,362.0,297.0,10.0,28.0,24.0,64.0,4.0,0.0,0.0,0.0,1270.0,1232.0,0.0,1489.0,130.0,264.0,582.0,37.0
六盘水,2023-10-01,121.0,963.0,184.0,36.0,0.0,2.0,99.0,699.0,21.0,409.0,778.0,896.0,0.0,439.0,904.0,460.0,159.0,8.0,5.0,40.0,83.0,6.0,0.0,0.0,0.0,1049.0,1055.0,0.0,1199.0,180.0,179.0,525.0,21.0
六盘水,2023-11-01,118.0,822.0,259.0,35.0,0.0,27.0,345.0,805.0,39.0,437.0,980.0,955.0,0.0,727.0,813.0,421.0,252.0,32.0,38.0,70.0,49.0,9.0,0.0,0.0,0.0,1255.0,1156.0,0.0,1583.0,154.0,253.0,382.0,39.0
六盘水,2023-12-01,148.0,898.0,263.0,55.0,0.0,25.0,152.0,978.0,31.0,650.0,1119.0,719.0,0.0,501.0,1024.0,484.0,339.0,19.0,15.0,44.0,67.0,26.0,0.0,0.0,0.0,1452.0,1067.0,0.0,1525.0,196.0,282.0,485.0,31.0
六盘水,2024-01-01,140.0,747.0,245.0,47.0,0.0,33.0,230.0,673.0,61.0,658.0,781.0,615.0,0.0,556.0,824.0,322.0,200.0,12.0,32.0,66.0,69.0,34.0,0.0,0.0,0.0,1058.0,1057.0,0.0,1250.0,162.0,293.0,349.0,61.0
六盘水,2024-02-01,87.0,812.0,228.0,26.0,0.0,23.0,311.0,661.0,33.0,853.0,832.0,430.0,0.0,617.0,846.0,311.0,239.0,34.0,27.0,39.0,13.0,22.0,0.0,0.0,0.0,1046.0,1102.0,0.0,1305.0,106.0,240.0,464.0,33.0
六盘水,2024-03-01,100.0,861.0,300.0,52.0,0.0,37.0,200.0,600.0,55.0,799.0,898.0,398.0,0.0,526.0,811.0,371.0,277.0,20.0,4.0,51.0,63.0,27.0,0.0,0.0,0.0,1057.0,1093.0,0.0,1166.0,162.0,307.0,460.0,55.0
六盘水,2024-04-01,92.0,894.0,150.0,53.0,0.0,19.0,87.0,825.0,45.0,639.0,837.0,599.0,0.0,471.0,930.0,382.0,193.0,26.0,10.0,53.0,18.0,37.0,0.0,0.0,0.0,1133.0,987.0,0.0,1207.0,153.0,251.0,464.0,45.0
六盘水,2024-05-01,97.0,853.0,268.0,27.0,0.0,29.0,238.0,776.0,27.0,842.0,914.0,505.0,0.0,496.0,999.0,395.0,272.0,9.0,35.0,26.0,49.0,7.0,0.0,0.0,0.0,1239.0,1049.0,0.0,1390.0,117.0,262.0,492.0,27.0
六盘水,2024-06-01,134.0,1031.0,259.0,45.0,0.0,22.0,202.0,608.0,52.0,802.0,918.0,529.0,0.0,550.0,831.0,409.0,343.0,24.0,29.0,53.0,53.0,9.0,0.0,0.0,0.0,1197.0,1104.0,0.0,1360.0,146.0,294.0,449.0,52.0
六盘水,2024-07-01,166.0,942.0,166.0,57.0,0.0,10.0,90.0,758.0,39.0,698.0,782.0,670.0,0.0,450.0,1012.0,367.0,190.0,63.0,6.0,9.0,58.0,34.0,0.0,0.0,0.0,1125.0,1064.0,0.0,1220.0,112.0,217.0,601.0,39.0
六盘水,2024-08-01,161.0,816.0,221.0,27.0,0.0,18.0,21.0,769.0,59.0,772.0,944.0,258.0,0.0,287.0,822.0,533.0,243.0,44.0,26.0,31.0,44.0,3.0,0.0,0.0,0.0,1244.0,789.0,0.0,1189.0,153.0,249.0,383.0,59.0
六盘水,2024-09-01,82.0,780.0,254.0,26.0,0.0,17.0,333.0,698.0,61.0,721.0,830.0,578.0,0.0,622.0,823.0,300.0,277.0,62.0,31.0,48.0,17.0,10.0,0.0,0.0,0.0,1111.0,1079.0,0.0,1355.0,122.0,278.0,374.0,61.0
安顺,2022-06-01,19.0,218.0,146.0,19.0,0.0,0.0,145.0,652.0,0.0,534.0,527.0,138.0,0.0,218.0,460.0,308.0,176.0,12.0,1.0,17.0,0.0,7.0,0.0,0.0,0.0,593.0,606.0,0.0,660.0,69.0,97.0,373.0,0.0
安顺,2022-07-01,25.0,252.0,129.0,23.0,0.0,0.0,103.0,393.0,0.0,139.0,363.0,423.0,0.0,207.0,349.0,155.0,167.0,11.0,11.0,13.0,0.0,12.0,0.0,0.0,0.0,432.0,493.0,0.0,450.0,71.0,110.0,294.0,0.0
安顺,2022-08-01,7.0,308.0,194.0,72.0,0.0,0.0,300.0,587.0,0.0,164.0,645.0,659.0,0.0,389.0,453.0,288.0,233.0,32.0,4.0,29.0,0.0,40.0,0.0,0.0,0.0,674.0,794.0,0.0,846.0,54.0,135.0,433.0,0.0
安顺,2022-09-01,1.0,414.0,212.0,45.0,0.0,0.0,231.0,587.0,0.0,730.0,508.0,252.0,0.0,314.0,573.0,301.0,245.0,34.0,10.0,2.0,0.0,11.0,0.0,0.0,0.0,572.0,918.0,0.0,721.0,98.0,83.0,588.0,0.0
安顺,2022-10-01,10.0,369.0,187.0,28.0,0.0,0.0,203.0,635.0,0.0,418.0,519.0,495.0,0.0,349.0,547.0,250.0,206.0,14.0,18.0,34.0,0.0,14.0,0.0,0.0,0.0,576.0,856.0,0.0,622.0,61.0,167.0,582.0,0.0
安顺,2022-11-01,8.0,325.0,233.0,61.0,0.0,0.0,213.0,555.0,0.0,279.0,591.0,525.0,0.0,239.0,557.0,243.0,249.0,37.0,27.0,19.0,0.0,24.0,0.0,0.0,0.0,661.0,734.0,0.0,769.0,17.0,113.0,496.0,0.0
安顺,2022-12-01,30.0,345.0,173.0,27.0,0.0,0.0,267.0,640.0,16.0,432.0,519.0,515.0,0.0,380.0,530.0,293.0,189.0,16.0,17.0,30.0,16.0,11.0,0.0,0.0,0.0,577.0,905.0,0.0,744.0,50.0,130.0,542.0,16.0
安顺,2023-01-01,38.0,360.0,262.0,18.0,0.0,0.0,110.0,682.0,0.0,445.0,639.0,386.0,0.0,235.0,626.0,303.0,261.0,2.0,22.0,5.0,0.0,16.0,0.0,0.0,0.0,688.0,782.0,0.0,729.0,79.0,107.0,555.0,0.0
安顺,2023-02-01,16.0,421.0,187.0,46.0,0.0,0.0,327.0,661.0,0.0,592.0,623.0,443.0,0.0,387.0,651.0,324.0,228.0,38.0,20.0,2.0,0.0,8.0,0.0,0.0,0.0,707.0,951.0,0.0,991.0,91.0,59.0,517.0,0.0
安顺,2023-03-01,4.0,456.0,138.0,40.0,0.0,0.0,97.0,532.0,17.0,293.0,420.0,537.0,0.0,180.0,608.0,232.0,156.0,16.0,22.0,12.0,17.0,24.0,0.0,0.0,0.0,508.0,759.0,0.0,508.0,54.0,101.0,587.0,17.0
安顺,2023-04-01,28.0,341.0,286.0,18.0,0.0,0.0,298.0,797.0,13.0,499.0,759.0,497.0,0.0,452.0,580.0,382.0,250.0,5.0,35.0,38.0,13.0,13.0,0.0,0.0,0.0,804.0,964.0,0.0,980.0,43.0,150.0,582.0,13.0
安顺,2023-05-01,23.0,370.0,255.0,67.0,0.0,0.0,396.0,806.0,18.0,733.0,766.0,400.0,0.0,525.0,639.0,392.0,205.0,27.0,37.0,34.0,18.0,40.0,0.0,0.0,0.0,838.0,1079.0,0.0,1112.0,61.0,145.0,581.0,18.0
安顺,2023-06-01,31.0,308.0,213.0,35.0,0.0,0.0,63.0,615.0,12.0,361.0,575.0,317.0,0.0,218.0,452.0,281.0,247.0,27.0,16.0,4.0,12.0,8.0,0.0,0.0,0.0,671.0,594.0,0.0,667.0,69.0,98.0,419.0,12.0
安顺,2023-07-01,17.0,285.0,269.0,12.0,0.0,0.0,122.0,580.0,44.0,383.0,523.0,335.0,0.0,239.0,408.0,337.0,219.0,9.0,29.0,16.0,25.0,3.0,0.0,0.0,0.0,596.0,689.0,0.0,628.0,44.0,107.0,462.0,44.0
安顺,2023-08-01,36.0,454.0,237.0,66.0,0.0,0.0,13.0,660.0,38.0,315.0,706.0,407.0,0.0,97.0,688.0,285.0,258.0,39.0,25.0,29.0,18.0,27.0,0.0,0.0,0.0,800.0,666.0,0.0,686.0,55.0,163.0,524.0,38.0
安顺,2023-09-01,34.0,370.0,243.0,51.0,0.0,0.0,166.0,701.0,39.0,360.0,613.0,553.0,0.0,313.0,531.0,377.0,215.0,40.0,33.0,21.0,24.0,11.0,0.0,0.0,0.0,645.0,920.0,0.0,747.0,74.0,98.0,607.0,39.0
安顺,2023-10-01,37.0,378.0,229.0,40.0,0.0,0.0,296.0,606.0,38.0,242.0,616.0,690.0,0.0,368.0,577.0,306.0,205.0,29.0,36.0,34.0,20.0,11.0,0.0,0.0,0.0,673.0,913.0,0.0,851.0,53.0,155.0,489.0,38.0
安顺,2023-11-01,14.0,318.0,209.0,19.0,0.0,0.0,102.0,627.0,16.0,368.0,577.0,328.0,0.0,159.0,539.0,298.0,238.0,4.0,8.0,28.0,0.0,15.0,0.0,0.0,0.0,632.0,657.0,0.0,612.0,69.0,136.0,456.0,16.0
安顺,2023-12-01,11.0,426.0,228.0,31.0,0.0,0.0,272.0,732.0,34.0,459.0,650.0,557.0,0.0,382.0,637.0,376.0,221.0,13.0,26.0,11.0,16.0,18.0,0.0,0.0,0.0,718.0,982.0,0.0,882.0,50.0,119.0,615.0,34.0
安顺,2024-01-01,10.0,348.0,274.0,57.0,0.0,0.0,37.0,614.0,32.0,320.0,741.0,247.0,0.0,91.0,561.0,301.0,261.0,27.0,14.0,39.0,16.0,30.0,0.0,0.0,0.0,789.0,551.0,0.0,663.0,51.0,173.0,421.0,32.0
安顺,2024-02-01,24.0,429.0,181.0,76.0,0.0,0.0,340.0,630.0,25.0,691.0,585.0,379.0,0.0,464.0,622.0,303.0,195.0,40.0,4.0,16.0,0.0,36.0,0.0,0.0,0.0,637.0,1043.0,0.0,855.0,75.0,146.0,579.0,25.0
安顺,2024-03-01,8.0,447.0,97.0,14.0,0.0,0.0,48.0,708.0,0.0,446.0,587.0,289.0,0.0,120.0,622.0,377.0,174.0,3.0,7.0,8.0,0.0,11.0,0.0,0.0,0.0,637.0,685.0,0.0,589.0,55.0,104.0,574.0,0.0
安顺,2024-04-01,9.0,361.0,158.0,37.0,0.0,0.0,7.0,544.0,24.0,197.0,436.0,459.0,0.0,125.0,486.0,217.0,211.0,16.0,27.0,13.0,0.0,21.0,0.0,0.0,0.0,515.0,601.0,0.0,439.0,62.0,92.0,499.0,24.0
安顺,2024-05-01,31.0,439.0,217.0,55.0,0.0,0.0,252.0,446.0,16.0,373.0,476.0,575.0,0.0,399.0,451.0,232.0,240.0,19.0,38.0,25.0,0.0,36.0,0.0,0.0,0.0,526.0,914.0,0.0,687.0,77.0,122.0,538.0,16.0
安顺,2024-06-01,38.0,457.0,244.0,18.0,0.0,0.0,154.0,482.0,24.0,393.0,606.0,370.0,0.0,231.0,506.0,343.0,232.0,15.0,38.0,25.0,0.0,3.0,0.0,0.0,0.0,649.0,744.0,0.0,692.0,60.0,149.0,468.0,24.0
安顺,2024-07-01,14.0,345.0,150.0,45.0,0.0,0.0,58.0,482.0,34.0,150.0,462.0,448.0,0.0,142.0,492.0,227.0,153.0,38.0,20.0,15.0,0.0,7.0,0.0,0.0,0.0,522.0,572.0,0.0,474.0,69.0,120.0,397.0,34.0
安顺,2024-08-01,31.0,362.0,202.0,20.0,0.0,0.0,228.0,590.0,15.0,473.0,613.0,332.0,0.0,331.0,567.0,248.0,218.0,12.0,36.0,13.0,0.0,8.0,0.0,0.0,0.0,659.0,774.0,0.0,787.0,14.0,131.0,486.0,15.0
安顺,2024-09-01,16.0,423.0,128.0,68.0,0.0,0.0,35.0,630.0,32.0,474.0,582.0,212.0,0.0,178.0,504.0,339.0,174.0,38.0,9.0,28.0,0.0,30.0,0.0,0.0,0.0,633.0,667.0,0.0,583.0,63.0,101.0,521.0,32.0
毕节,2022-06-01,166.0,1392.0,200.0,26.0,0.0,15.0,171.0,1049.0,0.0,1293.0,869.0,857.0,0.0,931.0,1315.0,385.0,291.0,36.0,0.0,45.0,16.0,0.0,0.0,0.0,0.0,1183.0,1836.0,0.0,1461.0,264.0,174.0,1120.0,0.0
毕节,2022-07-01,149.0,777.0,143.0,11.0,0.0,18.0,73.0,651.0,0.0,735.0,516.0,571.0,0.0,481.0,784.0,263.0,199.0,41.0,0.0,37.0,17.0,0.0,0.0,0.0,0.0,712.0,1110.0,0.0,801.0,223.0,155.0,643.0,0.0
