city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
乐山,2022-06-01,46.0,985.0,321.0,49.0,0.0,35.0,135.0,657.0,0.0,143.0,575.0,1020.0,490.0,0.0,463.0,491.0,385.0,370.0,76.0,226.0,134.0,73.0,10.0,0.0,0.0,0.0,1294.0,930.0,4.0,951.0,69.0,496.0,546.0,166.0
乐山,2022-07-01,46.0,739.0,174.0,70.0,0.0,26.0,88.0,378.0,0.0,31.0,451.0,650.0,389.0,0.0,240.0,460.0,258.0,210.0,65.0,82.0,124.0,70.0,12.0,0.0,0.0,0.0,853.0,645.0,23.0,633.0,69.0,342.0,435.0,42.0
乐山,2022-08-01,43.0,1011.0,241.0,51.0,0.0,49.0,154.0,723.0,0.0,30.0,654.0,912.0,676.0,0.0,406.0,843.0,263.0,328.0,109.0,118.0,128.0,63.0,14.0,0.0,0.0,0.0,1223.0,1035.0,14.0,1027.0,98.0,363.0,726.0,58.0
乐山,2022-09-01,56.0,1300.0,217.0,87.0,0.0,60.0,85.0,751.0,0.0,159.0,722.0,1090.0,585.0,0.0,340.0,835.0,502.0,344.0,57.0,223.0,127.0,117.0,11.0,0.0,0.0,0.0,1340.0,1191.0,25.0,1027.0,69.0,434.0,827.0,199.0
乐山,2022-10-01,31.0,869.0,315.0,100.0,0.0,11.0,160.0,676.0,0.0,61.0,434.0,984.0,683.0,0.0,355.0,702.0,341.0,277.0,103.0,96.0,132.0,139.0,17.0,0.0,0.0,0.0,1209.0,930.0,23.0,997.0,85.0,360.0,621.0,99.0
乐山,2022-11-01,53.0,1125.0,168.0,99.0,0.0,18.0,140.0,750.0,0.0,146.0,787.0,899.0,521.0,0.0,413.0,720.0,393.0,274.0,72.0,210.0,159.0,88.0,24.0,0.0,0.0,0.0,1204.0,1133.0,16.0,955.0,116.0,376.0,720.0,186.0
乐山,2022-12-01,34.0,1190.0,205.0,119.0,0.0,42.0,173.0,641.0,0.0,131.0,489.0,1028.0,756.0,0.0,490.0,667.0,329.0,334.0,63.0,211.0,177.0,101.0,32.0,0.0,0.0,0.0,1301.0,1068.0,35.0,1003.0,68.0,477.0,716.0,140.0
乐山,2023-01-01,72.0,1154.0,219.0,69.0,0.0,27.0,147.0,654.0,0.0,127.0,550.0,985.0,680.0,0.0,320.0,805.0,296.0,408.0,76.0,169.0,180.0,84.0,4.0,0.0,0.0,0.0,1281.0,1036.0,25.0,1064.0,89.0,384.0,647.0,158.0
乐山,2023-02-01,97.0,1212.0,253.0,53.0,0.0,13.0,191.0,611.0,0.0,104.0,974.0,981.0,371.0,0.0,372.0,802.0,356.0,356.0,85.0,154.0,190.0,97.0,18.0,0.0,0.0,0.0,1365.0,1041.0,24.0,1181.0,99.0,416.0,606.0,128.0
乐山,2023-03-01,54.0,1234.0,243.0,95.0,0.0,46.0,91.0,706.0,0.0,151.0,653.0,1057.0,608.0,0.0,325.0,827.0,394.0,321.0,100.0,197.0,202.0,83.0,20.0,0.0,0.0,0.0,1351.0,1111.0,7.0,1045.0,99.0,408.0,736.0,181.0
乐山,2023-04-01,79.0,1246.0,229.0,127.0,0.0,29.0,189.0,702.0,0.0,134.0,909.0,978.0,580.0,0.0,370.0,876.0,490.0,274.0,110.0,148.0,160.0,143.0,30.0,0.0,0.0,0.0,1314.0,1262.0,25.0,1116.0,130.0,398.0,800.0,157.0
乐山,2023-05-01,84.0,1199.0,218.0,76.0,0.0,44.0,88.0,723.0,0.0,201.0,346.0,918.0,967.0,0.0,359.0,824.0,361.0,307.0,60.0,223.0,163.0,109.0,26.0,0.0,0.0,0.0,1275.0,1144.0,13.0,977.0,102.0,391.0,724.0,238.0
乐山,2023-06-01,43.0,1147.0,255.0,73.0,0.0,40.0,114.0,760.0,0.0,186.0,590.0,1025.0,631.0,0.0,346.0,791.0,378.0,327.0,83.0,207.0,128.0,134.0,38.0,0.0,0.0,0.0,1335.0,1094.0,3.0,1018.0,103.0,434.0,679.0,198.0
乐山,2023-07-01,57.0,1088.0,168.0,40.0,0.0,10.0,101.0,615.0,0.0,146.0,695.0,845.0,393.0,0.0,309.0,635.0,429.0,200.0,81.0,182.0,167.0,58.0,18.0,0.0,0.0,0.0,1091.0,987.0,1.0,846.0,111.0,332.0,615.0,175.0
乐山,2023-08-01,88.0,1166.0,236.0,98.0,0.0,26.0,140.0,566.0,0.0,164.0,508.0,903.0,745.0,0.0,397.0,675.0,323.0,367.0,90.0,146.0,186.0,102.0,34.0,0.0,0.0,0.0,1241.0,1043.0,36.0,1052.0,70.0,403.0,610.0,185.0
乐山,2023-09-01,51.0,1206.0,167.0,107.0,0.0,40.0,116.0,655.0,0.0,135.0,587.0,989.0,631.0,0.0,386.0,726.0,396.0,333.0,65.0,83.0,224.0,100.0,29.0,0.0,0.0,0.0,1251.0,1066.0,25.0,956.0,87.0,420.0,723.0,156.0
乐山,2023-10-01,102.0,1007.0,192.0,126.0,0.0,73.0,135.0,668.0,0.0,115.0,548.0,930.0,710.0,0.0,349.0,782.0,415.0,228.0,89.0,121.0,187.0,110.0,22.0,0.0,0.0,0.0,1296.0,969.0,38.0,1082.0,104.0,400.0,580.0,137.0
乐山,2023-11-01,75.0,1098.0,201.0,73.0,0.0,60.0,114.0,711.0,0.0,154.0,662.0,1014.0,502.0,0.0,321.0,779.0,456.0,299.0,63.0,112.0,207.0,84.0,11.0,0.0,0.0,0.0,1330.0,985.0,17.0,1070.0,79.0,388.0,638.0,157.0
乐山,2023-12-01,62.0,1220.0,172.0,79.0,0.0,46.0,98.0,696.0,0.0,416.0,547.0,928.0,482.0,0.0,251.0,676.0,533.0,287.0,79.0,200.0,188.0,132.0,27.0,0.0,0.0,0.0,1320.0,1031.0,22.0,1065.0,55.0,394.0,440.0,419.0
乐山,2024-01-01,93.0,999.0,258.0,96.0,0.0,36.0,149.0,691.0,0.0,138.0,799.0,937.0,448.0,0.0,365.0,766.0,298.0,345.0,69.0,149.0,186.0,114.0,30.0,0.0,0.0,0.0,1280.0,1009.0,33.0,1091.0,61.0,416.0,589.0,165.0
乐山,2024-02-01,76.0,1095.0,217.0,74.0,0.0,41.0,92.0,524.0,0.0,102.0,662.0,834.0,521.0,0.0,279.0,667.0,400.0,208.0,115.0,175.0,177.0,89.0,9.0,0.0,0.0,0.0,1128.0,975.0,16.0,821.0,48.0,430.0,700.0,120.0
乐山,2024-03-01,60.0,1206.0,159.0,127.0,0.0,38.0,112.0,599.0,0.0,182.0,636.0,1023.0,460.0,0.0,342.0,625.0,346.0,350.0,107.0,252.0,138.0,112.0,29.0,0.0,0.0,0.0,1232.0,1040.0,29.0,875.0,104.0,468.0,646.0,208.0
乐山,2024-04-01,46.0,1127.0,183.0,62.0,0.0,51.0,82.0,552.0,0.0,108.0,781.0,869.0,345.0,0.0,383.0,573.0,410.0,289.0,51.0,162.0,181.0,36.0,18.0,0.0,0.0,0.0,1069.0,1009.0,25.0,829.0,119.0,357.0,700.0,98.0
乐山,2024-05-01,49.0,1141.0,257.0,95.0,0.0,24.0,94.0,563.0,0.0,250.0,518.0,712.0,743.0,0.0,278.0,787.0,300.0,277.0,147.0,192.0,145.0,64.0,33.0,0.0,0.0,0.0,1038.0,1146.0,39.0,804.0,41.0,359.0,759.0,260.0
乐山,2024-06-01,82.0,1130.0,301.0,70.0,0.0,21.0,198.0,708.0,0.0,287.0,713.0,1037.0,473.0,0.0,361.0,683.0,390.0,347.0,180.0,203.0,236.0,71.0,39.0,0.0,0.0,0.0,1451.0,1024.0,35.0,1150.0,81.0,519.0,443.0,317.0
乐山,2024-07-01,52.0,1223.0,260.0,95.0,0.0,64.0,148.0,645.0,0.0,199.0,582.0,970.0,736.0,0.0,381.0,834.0,317.0,300.0,192.0,153.0,175.0,97.0,38.0,0.0,0.0,0.0,1318.0,1144.0,25.0,985.0,83.0,502.0,715.0,202.0
乐山,2024-08-01,93.0,1281.0,181.0,47.0,0.0,41.0,147.0,632.0,0.0,219.0,831.0,885.0,487.0,0.0,419.0,863.0,347.0,315.0,126.0,136.0,130.0,65.0,21.0,0.0,0.0,0.0,1191.0,1230.0,1.0,982.0,115.0,401.0,705.0,219.0
乐山,2024-09-01,99.0,1246.0,236.0,99.0,0.0,12.0,86.0,662.0,0.0,314.0,778.0,779.0,569.0,0.0,364.0,690.0,451.0,241.0,160.0,186.0,207.0,127.0,14.0,0.0,0.0,0.0,1119.0,1287.0,34.0,918.0,114.0,352.0,730.0,326.0
内江,2022-06-01,56.0,365.0,110.0,0.0,0.0,0.0,19.0,523.0,0.0,0.0,278.0,437.0,358.0,0.0,106.0,650.0,130.0,148.0,4.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,634.0,439.0,0.0,625.0,64.0,46.0,338.0,0.0
内江,2022-07-01,23.0,279.0,61.0,0.0,0.0,0.0,43.0,280.0,0.0,0.0,135.0,287.0,264.0,0.0,98.0,326.0,115.0,119.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,361.0,325.0,0.0,358.0,59.0,43.0,226.0,0.0
内江,2022-08-01,52.0,388.0,114.0,0.0,0.0,0.0,33.0,486.0,0.0,0.0,341.0,558.0,174.0,0.0,98.0,574.0,182.0,174.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,667.0,406.0,0.0,641.0,60.0,74.0,298.0,0.0
内江,2022-09-01,33.0,304.0,67.0,0.0,0.0,0.0,54.0,400.0,0.0,0.0,191.0,380.0,287.0,0.0,101.0,453.0,177.0,92.0,19.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,483.0,375.0,0.0,513.0,44.0,33.0,268.0,0.0
内江,2022-10-01,49.0,339.0,99.0,0.0,0.0,0.0,20.0,415.0,0.0,0.0,193.0,424.0,305.0,0.0,119.0,487.0,106.0,168.0,18.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,514.0,408.0,0.0,501.0,83.0,55.0,283.0,0.0
内江,2022-11-01,49.0,243.0,121.0,0.0,0.0,0.0,43.0,427.0,0.0,0.0,232.0,391.0,260.0,0.0,109.0,454.0,117.0,128.0,38.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,555.0,328.0,0.0,516.0,89.0,61.0,217.0,0.0
内江,2022-12-01,45.0,299.0,91.0,0.0,0.0,0.0,44.0,537.0,0.0,0.0,169.0,502.0,345.0,0.0,127.0,553.0,194.0,82.0,22.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,602.0,414.0,0.0,563.0,45.0,107.0,301.0,0.0
内江,2023-01-01,74.0,264.0,127.0,0.0,0.0,0.0,52.0,472.0,0.0,0.0,240.0,466.0,283.0,0.0,161.0,468.0,147.0,136.0,38.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,584.0,405.0,0.0,556.0,119.0,77.0,237.0,0.0
内江,2023-02-01,58.0,273.0,81.0,0.0,0.0,0.0,39.0,464.0,0.0,0.0,269.0,402.0,244.0,0.0,128.0,468.0,164.0,114.0,10.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,567.0,348.0,0.0,551.0,89.0,70.0,205.0,0.0
内江,2023-03-01,44.0,305.0,68.0,0.0,0.0,0.0,28.0,372.0,0.0,14.0,272.0,417.0,114.0,0.0,124.0,381.0,100.0,167.0,12.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,474.0,343.0,0.0,474.0,90.0,35.0,204.0,14.0
内江,2023-04-01,17.0,339.0,83.0,0.0,0.0,0.0,15.0,310.0,0.0,0.0,229.0,343.0,192.0,0.0,85.0,365.0,121.0,147.0,34.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,392.0,372.0,0.0,362.0,88.0,40.0,274.0,0.0
内江,2023-05-01,57.0,378.0,20.0,0.0,0.0,0.0,42.0,358.0,0.0,0.0,398.0,339.0,118.0,0.0,143.0,431.0,104.0,167.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,446.0,409.0,0.0,447.0,120.0,52.0,236.0,0.0
内江,2023-06-01,36.0,343.0,74.0,0.0,0.0,0.0,51.0,366.0,0.0,0.0,200.0,436.0,234.0,0.0,100.0,394.0,187.0,165.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,553.0,317.0,0.0,561.0,37.0,49.0,223.0,0.0
内江,2023-07-01,43.0,338.0,69.0,0.0,0.0,0.0,43.0,438.0,0.0,16.0,426.0,425.0,64.0,0.0,95.0,494.0,183.0,130.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,603.0,328.0,0.0,584.0,84.0,37.0,210.0,16.0
内江,2023-08-01,31.0,365.0,47.0,0.0,0.0,0.0,28.0,450.0,0.0,0.0,271.0,381.0,269.0,0.0,98.0,567.0,110.0,119.0,11.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,514.0,407.0,0.0,473.0,62.0,90.0,296.0,0.0
内江,2023-09-01,25.0,352.0,59.0,0.0,0.0,0.0,16.0,447.0,0.0,14.0,215.0,401.0,269.0,0.0,71.0,500.0,167.0,133.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,508.0,391.0,0.0,484.0,62.0,52.0,287.0,14.0
内江,2023-10-01,49.0,281.0,62.0,0.0,0.0,0.0,60.0,534.0,0.0,0.0,386.0,456.0,144.0,0.0,124.0,564.0,122.0,155.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,632.0,354.0,0.0,641.0,93.0,44.0,208.0,0.0
内江,2023-11-01,40.0,353.0,74.0,0.0,0.0,0.0,25.0,482.0,0.0,44.0,278.0,487.0,165.0,0.0,102.0,512.0,165.0,146.0,8.0,20.0,10.0,11.0,0.0,0.0,0.0,0.0,587.0,387.0,0.0,535.0,95.0,64.0,236.0,44.0
内江,2023-12-01,20.0,334.0,80.0,0.0,0.0,0.0,39.0,377.0,0.0,23.0,196.0,371.0,260.0,0.0,111.0,423.0,149.0,134.0,16.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,500.0,350.0,0.0,484.0,55.0,38.0,250.0,23.0
内江,2024-01-01,35.0,295.0,49.0,0.0,0.0,0.0,55.0,463.0,0.0,17.0,305.0,402.0,173.0,0.0,113.0,507.0,103.0,154.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,519.0,378.0,0.0,498.0,75.0,64.0,243.0,17.0
内江,2024-02-01,59.0,386.0,51.0,0.0,0.0,0.0,10.0,345.0,0.0,0.0,156.0,376.0,319.0,0.0,112.0,396.0,140.0,170.0,18.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,460.0,391.0,0.0,452.0,55.0,47.0,297.0,0.0
内江,2024-03-01,54.0,333.0,95.0,0.0,0.0,0.0,47.0,411.0,0.0,0.0,244.0,492.0,204.0,0.0,122.0,434.0,182.0,160.0,37.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,582.0,358.0,0.0,592.0,69.0,31.0,248.0,0.0
内江,2024-04-01,51.0,330.0,91.0,0.0,0.0,0.0,46.0,519.0,0.0,0.0,261.0,485.0,291.0,0.0,148.0,543.0,132.0,185.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,615.0,422.0,0.0,614.0,79.0,59.0,285.0,0.0
内江,2024-05-01,34.0,302.0,75.0,0.0,0.0,0.0,26.0,512.0,0.0,0.0,365.0,453.0,131.0,0.0,93.0,555.0,119.0,143.0,23.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,601.0,348.0,0.0,556.0,99.0,48.0,246.0,0.0
内江,2024-06-01,47.0,370.0,86.0,0.0,0.0,0.0,56.0,365.0,0.0,0.0,306.0,334.0,284.0,0.0,138.0,398.0,164.0,192.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,521.0,403.0,0.0,509.0,106.0,63.0,246.0,0.0
内江,2024-07-01,36.0,323.0,85.0,0.0,0.0,0.0,66.0,496.0,0.0,0.0,149.0,451.0,406.0,0.0,134.0,517.0,165.0,144.0,29.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,634.0,372.0,0.0,624.0,79.0,75.0,228.0,0.0
内江,2024-08-01,41.0,289.0,130.0,0.0,0.0,0.0,50.0,464.0,0.0,0.0,397.0,394.0,183.0,0.0,111.0,519.0,131.0,147.0,32.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,600.0,374.0,0.0,576.0,62.0,93.0,243.0,0.0
内江,2024-09-01,22.0,443.0,28.0,0.0,0.0,0.0,22.0,444.0,0.0,33.0,165.0,408.0,353.0,0.0,70.0,538.0,208.0,138.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,493.0,466.0,0.0,491.0,47.0,35.0,353.0,33.0
凉山,2023-08-01,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0
凉山,2023-09-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0
凉山,2023-12-01,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,327.0
凉山,2024-09-01,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,258.0
南充,2022-06-01,120.0,1923.0,553.0,185.0,0.0,86.0,62.0,1120.0,0.0,77.0,1279.0,1756.0,937.0,39.0,469.0,1465.0,616.0,497.0,69.0,201.0,301.0,353.0,39.0,0.0,0.0,0.0,2222.0,1808.0,19.0,1231.0,208.0,1082.0,1389.0,139.0
南充,2022-07-01,79.0,1261.0,347.0,124.0,0.0,57.0,90.0,762.0,0.0,40.0,730.0,1106.0,844.0,15.0,385.0,973.0,420.0,376.0,100.0,132.0,133.0,149.0,37.0,0.0,0.0,0.0,1424.0,1283.0,13.0,873.0,157.0,619.0,1016.0,55.0
南充,2022-08-01,83.0,2107.0,746.0,146.0,0.0,33.0,179.0,1080.0,0.0,42.0,1181.0,1743.0,1408.0,6.0,538.0,1627.0,572.0,802.0,107.0,149.0,312.0,208.0,53.0,0.0,0.0,0.0,2266.0,2103.0,5.0,1456.0,266.0,958.0,1594.0,100.0
南充,2022-09-01,74.0,1916.0,540.0,222.0,0.0,47.0,113.0,1226.0,0.0,59.0,1473.0,1759.0,847.0,16.0,533.0,1570.0,606.0,643.0,84.0,90.0,263.0,272.0,61.0,0.0,0.0,0.0,2116.0,1992.0,30.0,1404.0,296.0,833.0,1498.0,107.0
南充,2022-10-01,154.0,1894.0,660.0,94.0,0.0,40.0,178.0,1212.0,0.0,42.0,1701.0,1635.0,854.0,36.0,726.0,1553.0,608.0,622.0,100.0,151.0,200.0,194.0,42.0,0.0,0.0,0.0,2179.0,2048.0,5.0,1571.0,241.0,788.0,1545.0,87.0
南充,2022-11-01,119.0,1797.0,503.0,131.0,0.0,38.0,65.0,1241.0,0.0,82.0,822.0,1438.0,1552.0,28.0,533.0,1402.0,676.0,600.0,113.0,143.0,146.0,220.0,33.0,0.0,0.0,0.0,1967.0,1915.0,12.0,1374.0,264.0,671.0,1486.0,99.0
南充,2022-12-01,127.0,2111.0,583.0,169.0,0.0,41.0,141.0,1133.0,0.0,89.0,1364.0,1684.0,1168.0,14.0,673.0,1535.0,535.0,626.0,146.0,173.0,246.0,343.0,14.0,0.0,0.0,0.0,2110.0,2168.0,27.0,1205.0,205.0,1012.0,1735.0,148.0
南充,2023-01-01,47.0,2136.0,546.0,200.0,0.0,83.0,147.0,1260.0,0.0,50.0,1204.0,1760.0,1405.0,3.0,710.0,1481.0,659.0,629.0,110.0,205.0,209.0,393.0,20.0,0.0,0.0,0.0,2338.0,2051.0,30.0,1455.0,255.0,1027.0,1614.0,68.0
南充,2023-02-01,89.0,2160.0,508.0,167.0,0.0,52.0,174.0,1223.0,0.0,76.0,1320.0,1631.0,1346.0,29.0,628.0,1610.0,535.0,769.0,76.0,122.0,251.0,304.0,49.0,0.0,0.0,0.0,2066.0,2292.0,15.0,1278.0,223.0,925.0,1816.0,131.0
南充,2023-03-01,93.0,1862.0,638.0,126.0,0.0,76.0,194.0,1248.0,0.0,79.0,1285.0,1810.0,1063.0,11.0,674.0,1506.0,642.0,592.0,117.0,127.0,248.0,292.0,28.0,0.0,0.0,0.0,2330.0,1894.0,13.0,1506.0,180.0,992.0,1456.0,103.0
南充,2023-04-01,75.0,1934.0,502.0,184.0,0.0,97.0,145.0,1149.0,0.0,107.0,519.0,1890.0,1570.0,10.0,662.0,1360.0,582.0,698.0,56.0,137.0,193.0,344.0,44.0,0.0,0.0,0.0,2239.0,1843.0,4.0,1316.0,188.0,1042.0,1415.0,125.0
南充,2023-05-01,114.0,2482.0,602.0,239.0,0.0,74.0,97.0,1244.0,0.0,100.0,1449.0,1787.0,1516.0,21.0,737.0,1708.0,724.0,654.0,153.0,162.0,324.0,319.0,50.0,0.0,0.0,0.0,2430.0,2397.0,25.0,1497.0,319.0,1067.0,1815.0,154.0
南充,2023-06-01,87.0,1926.0,669.0,194.0,0.0,78.0,109.0,1195.0,0.0,90.0,1490.0,1575.0,1103.0,15.0,713.0,1482.0,456.0,756.0,106.0,120.0,326.0,249.0,35.0,0.0,0.0,0.0,2186.0,2037.0,35.0,1427.0,255.0,894.0,1561.0,121.0
南充,2023-07-01,147.0,2091.0,543.0,204.0,0.0,59.0,213.0,1197.0,0.0,205.0,1032.0,1748.0,1469.0,36.0,756.0,1557.0,492.0,778.0,120.0,131.0,268.0,242.0,74.0,0.0,0.0,0.0,2096.0,2338.0,20.0,1364.0,282.0,916.0,1623.0,269.0
南充,2023-08-01,76.0,2523.0,466.0,200.0,0.0,41.0,77.0,1060.0,0.0,183.0,877.0,1887.0,1496.0,26.0,559.0,1612.0,643.0,688.0,105.0,115.0,276.0,383.0,36.0,0.0,0.0,0.0,2310.0,2111.0,22.0,1260.0,197.0,1139.0,1607.0,240.0
南充,2023-09-01,112.0,2178.0,578.0,148.0,0.0,70.0,151.0,1344.0,0.0,154.0,751.0,1754.0,1922.0,32.0,773.0,1716.0,533.0,554.0,120.0,130.0,355.0,330.0,38.0,0.0,0.0,0.0,2198.0,2352.0,31.0,1294.0,255.0,1066.0,1759.0,207.0
南充,2023-10-01,138.0,2153.0,598.0,142.0,0.0,55.0,147.0,1084.0,0.0,153.0,1081.0,1670.0,1413.0,16.0,638.0,1489.0,634.0,755.0,54.0,201.0,276.0,215.0,39.0,0.0,0.0,0.0,2215.0,2088.0,14.0,1485.0,245.0,884.0,1533.0,170.0
南充,2023-11-01,149.0,1965.0,557.0,105.0,0.0,67.0,98.0,1432.0,0.0,145.0,1149.0,1591.0,1488.0,19.0,738.0,1647.0,641.0,643.0,25.0,201.0,258.0,156.0,45.0,0.0,0.0,0.0,2160.0,2209.0,4.0,1438.0,225.0,811.0,1740.0,159.0
南充,2023-12-01,108.0,2244.0,557.0,111.0,0.0,69.0,125.0,1152.0,0.0,166.0,1518.0,1641.0,1041.0,3.0,655.0,1520.0,613.0,668.0,73.0,154.0,399.0,240.0,41.0,0.0,0.0,0.0,2146.0,2186.0,34.0,1348.0,225.0,977.0,1588.0,228.0
南充,2024-01-01,82.0,2326.0,684.0,114.0,0.0,26.0,203.0,1422.0,0.0,222.0,1397.0,1696.0,1542.0,35.0,608.0,1916.0,682.0,763.0,110.0,264.0,270.0,178.0,31.0,0.0,0.0,0.0,2308.0,2543.0,6.0,1617.0,247.0,843.0,1905.0,245.0
南充,2024-02-01,95.0,1944.0,583.0,113.0,0.0,91.0,57.0,1185.0,0.0,127.0,1387.0,1520.0,1034.0,20.0,496.0,1494.0,611.0,700.0,113.0,227.0,203.0,156.0,48.0,0.0,0.0,0.0,2176.0,1888.0,4.0,1433.0,246.0,794.0,1407.0,188.0
南充,2024-03-01,124.0,2022.0,460.0,174.0,0.0,71.0,76.0,1356.0,0.0,179.0,1135.0,1581.0,1388.0,4.0,612.0,1692.0,614.0,581.0,151.0,162.0,193.0,206.0,68.0,0.0,0.0,0.0,1984.0,2263.0,36.0,1187.0,248.0,899.0,1739.0,210.0
南充,2024-04-01,125.0,1771.0,545.0,155.0,0.0,47.0,159.0,1230.0,0.0,84.0,1167.0,1581.0,1200.0,28.0,631.0,1554.0,416.0,597.0,125.0,156.0,237.0,247.0,41.0,0.0,0.0,0.0,2028.0,1982.0,22.0,1194.0,184.0,1001.0,1528.0,125.0
南充,2024-05-01,116.0,2042.0,469.0,251.0,0.0,78.0,67.0,1344.0,0.0,198.0,1099.0,1512.0,1558.0,35.0,561.0,1628.0,636.0,622.0,222.0,130.0,197.0,253.0,83.0,0.0,0.0,0.0,2133.0,2231.0,3.0,1282.0,276.0,913.0,1682.0,214.0
南充,2024-06-01,125.0,2258.0,493.0,187.0,0.0,22.0,150.0,1215.0,0.0,215.0,1236.0,1790.0,1209.0,2.0,686.0,1623.0,660.0,727.0,220.0,48.0,162.0,260.0,62.0,0.0,0.0,0.0,2247.0,2188.0,15.0,1642.0,211.0,774.0,1599.0,224.0
南充,2024-07-01,74.0,2226.0,659.0,71.0,0.0,85.0,98.0,1222.0,0.0,275.0,1516.0,1462.0,1182.0,5.0,635.0,1515.0,734.0,685.0,199.0,166.0,298.0,157.0,41.0,0.0,0.0,0.0,2041.0,2393.0,1.0,1304.0,200.0,845.0,1782.0,304.0
南充,2024-08-01,88.0,2193.0,590.0,141.0,0.0,59.0,96.0,1290.0,0.0,266.0,1191.0,1732.0,1268.0,7.0,509.0,1655.0,758.0,561.0,187.0,134.0,329.0,267.0,50.0,0.0,0.0,0.0,2185.0,2271.0,1.0,1217.0,242.0,1031.0,1692.0,275.0
南充,2024-09-01,122.0,2333.0,565.0,182.0,0.0,104.0,153.0,1197.0,0.0,306.0,1480.0,1561.0,1309.0,12.0,697.0,1655.0,763.0,628.0,201.0,147.0,202.0,262.0,89.0,0.0,0.0,0.0,2164.0,2487.0,5.0,1535.0,299.0,768.0,1728.0,326.0
宜宾,2022-06-01,35.0,999.0,336.0,33.0,0.0,27.0,171.0,794.0,0.0,12.0,605.0,801.0,977.0,0.0,500.0,962.0,307.0,286.0,105.0,14.0,135.0,82.0,4.0,0.0,0.0,0.0,1084.0,1311.0,0.0,923.0,164.0,320.0,961.0,27.0
宜宾,2022-07-01,51.0,798.0,270.0,59.0,0.0,21.0,104.0,586.0,0.0,0.0,598.0,766.0,525.0,0.0,278.0,777.0,280.0,250.0,72.0,32.0,108.0,59.0,33.0,0.0,0.0,0.0,958.0,931.0,0.0,741.0,132.0,316.0,669.0,31.0
宜宾,2022-08-01,47.0,1097.0,472.0,95.0,0.0,11.0,96.0,803.0,0.0,0.0,850.0,968.0,803.0,0.0,457.0,1106.0,258.0,331.0,169.0,19.0,115.0,147.0,19.0,0.0,0.0,0.0,1291.0,1330.0,0.0,1054.0,170.0,386.0,972.0,39.0
