city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
仙桃,2024-01-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0
十堰,2022-06-01,33.0,1042.0,153.0,40.0,0.0,0.0,0.0,631.0,0.0,0.0,451.0,962.0,486.0,0.0,148.0,702.0,368.0,491.0,43.0,15.0,72.0,49.0,11.0,0.0,0.0,0.0,1212.0,687.0,0.0,830.0,95.0,415.0,524.0,35.0
十堰,2022-07-01,14.0,813.0,125.0,54.0,0.0,0.0,0.0,485.0,0.0,12.0,474.0,630.0,375.0,0.0,89.0,622.0,336.0,284.0,42.0,26.0,34.0,46.0,12.0,0.0,0.0,0.0,812.0,679.0,0.0,546.0,184.0,280.0,469.0,12.0
十堰,2022-08-01,26.0,1182.0,111.0,72.0,0.0,0.0,0.0,892.0,0.0,0.0,498.0,1029.0,756.0,0.0,112.0,1102.0,440.0,451.0,51.0,20.0,28.0,67.0,12.0,0.0,0.0,0.0,1237.0,1046.0,0.0,792.0,313.0,471.0,702.0,5.0
十堰,2022-09-01,4.0,1118.0,230.0,51.0,0.0,0.0,0.0,883.0,0.0,26.0,655.0,851.0,754.0,0.0,141.0,972.0,516.0,426.0,56.0,45.0,51.0,76.0,3.0,0.0,0.0,0.0,1206.0,1080.0,0.0,808.0,376.0,402.0,655.0,45.0
十堰,2022-10-01,3.0,988.0,95.0,83.0,0.0,0.0,0.0,841.0,0.0,0.0,471.0,892.0,647.0,0.0,116.0,938.0,451.0,357.0,39.0,11.0,11.0,48.0,39.0,0.0,0.0,0.0,1126.0,884.0,0.0,746.0,315.0,383.0,556.0,10.0
十堰,2022-11-01,26.0,1125.0,199.0,35.0,0.0,0.0,0.0,875.0,0.0,0.0,786.0,1043.0,431.0,0.0,147.0,1002.0,464.0,449.0,33.0,36.0,39.0,84.0,6.0,0.0,0.0,0.0,1337.0,923.0,0.0,830.0,209.0,533.0,668.0,20.0
十堰,2022-12-01,25.0,1383.0,149.0,103.0,0.0,0.0,0.0,938.0,0.0,31.0,706.0,1043.0,818.0,0.0,92.0,1210.0,565.0,474.0,67.0,27.0,56.0,72.0,35.0,0.0,0.0,0.0,1442.0,1156.0,0.0,969.0,330.0,498.0,744.0,57.0
十堰,2023-01-01,4.0,1107.0,166.0,67.0,0.0,0.0,0.0,592.0,0.0,0.0,555.0,912.0,469.0,0.0,114.0,715.0,522.0,390.0,53.0,4.0,57.0,53.0,28.0,0.0,0.0,0.0,1151.0,785.0,0.0,779.0,75.0,376.0,683.0,23.0
十堰,2023-02-01,3.0,916.0,164.0,59.0,0.0,0.0,0.0,654.0,0.0,0.0,414.0,790.0,592.0,0.0,68.0,880.0,351.0,318.0,43.0,25.0,60.0,38.0,13.0,0.0,0.0,0.0,1049.0,747.0,0.0,735.0,150.0,317.0,570.0,24.0
十堰,2023-03-01,3.0,1257.0,224.0,42.0,0.0,0.0,0.0,894.0,0.0,25.0,418.0,963.0,1014.0,0.0,114.0,1152.0,418.0,528.0,37.0,30.0,47.0,88.0,6.0,0.0,0.0,0.0,1184.0,1236.0,0.0,743.0,426.0,444.0,765.0,42.0
十堰,2023-04-01,40.0,1024.0,218.0,67.0,0.0,0.0,0.0,811.0,0.0,12.0,504.0,844.0,800.0,0.0,141.0,933.0,550.0,365.0,41.0,7.0,48.0,61.0,14.0,0.0,0.0,0.0,1191.0,969.0,0.0,782.0,190.0,449.0,718.0,21.0
十堰,2023-05-01,2.0,1046.0,173.0,76.0,0.0,0.0,0.0,963.0,0.0,12.0,723.0,1056.0,469.0,0.0,111.0,991.0,504.0,479.0,53.0,30.0,8.0,61.0,23.0,0.0,0.0,0.0,1264.0,996.0,0.0,809.0,336.0,457.0,645.0,13.0
十堰,2023-06-01,10.0,1092.0,132.0,37.0,0.0,0.0,0.0,683.0,0.0,0.0,594.0,863.0,497.0,0.0,126.0,782.0,506.0,369.0,39.0,5.0,30.0,91.0,6.0,0.0,0.0,0.0,1192.0,762.0,0.0,812.0,101.0,390.0,634.0,17.0
十堰,2023-07-01,19.0,1098.0,229.0,88.0,0.0,0.0,0.0,876.0,0.0,41.0,504.0,1066.0,699.0,0.0,132.0,1068.0,443.0,437.0,59.0,3.0,45.0,89.0,34.0,0.0,0.0,0.0,1323.0,987.0,0.0,810.0,280.0,532.0,630.0,58.0
十堰,2023-08-01,9.0,1029.0,268.0,50.0,0.0,0.0,0.0,914.0,0.0,33.0,791.0,875.0,571.0,0.0,90.0,997.0,538.0,471.0,34.0,4.0,71.0,61.0,4.0,0.0,0.0,0.0,1319.0,951.0,0.0,956.0,346.0,372.0,524.0,72.0
十堰,2023-09-01,7.0,1253.0,170.0,52.0,0.0,0.0,0.0,782.0,0.0,91.0,715.0,846.0,612.0,0.0,112.0,991.0,512.0,413.0,49.0,82.0,31.0,73.0,1.0,0.0,0.0,0.0,1094.0,1170.0,0.0,774.0,277.0,327.0,776.0,110.0
十堰,2023-10-01,5.0,1301.0,217.0,50.0,0.0,0.0,0.0,884.0,0.0,78.0,353.0,905.0,1121.0,0.0,137.0,1172.0,580.0,374.0,58.0,41.0,41.0,45.0,9.0,0.0,0.0,0.0,1264.0,1193.0,0.0,859.0,292.0,410.0,816.0,80.0
十堰,2023-11-01,32.0,1034.0,164.0,50.0,0.0,0.0,0.0,897.0,0.0,42.0,633.0,1024.0,478.0,0.0,121.0,961.0,603.0,289.0,32.0,44.0,29.0,78.0,20.0,0.0,0.0,0.0,1341.0,836.0,0.0,936.0,214.0,437.0,537.0,53.0
十堰,2023-12-01,26.0,1054.0,133.0,27.0,0.0,0.0,0.0,1202.0,0.0,60.0,587.0,908.0,887.0,0.0,115.0,1279.0,526.0,328.0,37.0,52.0,70.0,19.0,16.0,0.0,0.0,0.0,1200.0,1242.0,0.0,831.0,473.0,395.0,644.0,99.0
十堰,2024-01-01,11.0,1343.0,192.0,81.0,0.0,0.0,0.0,1002.0,0.0,95.0,895.0,1077.0,562.0,0.0,142.0,1151.0,627.0,460.0,31.0,67.0,22.0,92.0,37.0,0.0,0.0,0.0,1386.0,1243.0,0.0,887.0,373.0,510.0,756.0,103.0
十堰,2024-02-01,30.0,1212.0,242.0,43.0,0.0,0.0,0.0,931.0,0.0,52.0,1041.0,887.0,478.0,0.0,157.0,1144.0,548.0,406.0,51.0,62.0,31.0,53.0,6.0,0.0,0.0,0.0,1267.0,1191.0,0.0,827.0,351.0,470.0,756.0,54.0
十堰,2024-03-01,27.0,891.0,200.0,78.0,0.0,0.0,0.0,984.0,0.0,50.0,552.0,834.0,744.0,0.0,94.0,1112.0,451.0,326.0,79.0,13.0,37.0,43.0,25.0,0.0,0.0,0.0,1130.0,1050.0,0.0,772.0,405.0,385.0,556.0,62.0
十堰,2024-04-01,35.0,1064.0,154.0,90.0,0.0,0.0,0.0,723.0,0.0,63.0,346.0,793.0,864.0,0.0,105.0,940.0,368.0,423.0,57.0,10.0,50.0,73.0,40.0,0.0,0.0,0.0,1031.0,1035.0,0.0,672.0,372.0,394.0,566.0,62.0
十堰,2024-05-01,30.0,1215.0,246.0,43.0,0.0,0.0,0.0,636.0,0.0,52.0,563.0,859.0,696.0,0.0,173.0,775.0,566.0,466.0,37.0,25.0,36.0,75.0,17.0,0.0,0.0,0.0,1250.0,920.0,0.0,855.0,207.0,425.0,639.0,44.0
十堰,2024-06-01,34.0,1071.0,145.0,63.0,0.0,0.0,0.0,868.0,0.0,75.0,655.0,858.0,593.0,0.0,125.0,971.0,477.0,439.0,49.0,16.0,23.0,60.0,21.0,0.0,0.0,0.0,1218.0,963.0,0.0,868.0,307.0,384.0,555.0,67.0
十堰,2024-07-01,5.0,1127.0,259.0,71.0,0.0,0.0,0.0,830.0,0.0,121.0,830.0,936.0,405.0,0.0,83.0,978.0,533.0,440.0,91.0,17.0,54.0,60.0,36.0,0.0,0.0,0.0,1325.0,967.0,0.0,854.0,261.0,476.0,588.0,113.0
十堰,2024-08-01,12.0,1279.0,189.0,85.0,0.0,0.0,0.0,775.0,0.0,104.0,668.0,1112.0,456.0,0.0,92.0,1031.0,491.0,521.0,64.0,38.0,38.0,41.0,24.0,0.0,0.0,0.0,1391.0,949.0,0.0,884.0,138.0,519.0,696.0,103.0
十堰,2024-09-01,33.0,1223.0,167.0,73.0,0.0,0.0,0.0,692.0,0.0,101.0,653.0,1090.0,344.0,0.0,126.0,746.0,596.0,434.0,90.0,36.0,59.0,92.0,9.0,0.0,0.0,0.0,1414.0,774.0,0.0,925.0,145.0,522.0,490.0,106.0
咸宁,2022-06-01,0.0,528.0,49.0,16.0,0.0,3.0,0.0,243.0,0.0,0.0,276.0,356.0,207.0,0.0,33.0,331.0,279.0,165.0,16.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,460.0,379.0,0.0,337.0,9.0,123.0,370.0,0.0
咸宁,2022-07-01,0.0,475.0,62.0,20.0,0.0,22.0,0.0,237.0,0.0,0.0,70.0,402.0,344.0,0.0,23.0,300.0,267.0,171.0,20.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,492.0,324.0,0.0,302.0,31.0,190.0,293.0,0.0
咸宁,2022-08-01,0.0,574.0,52.0,18.0,0.0,3.0,0.0,234.0,0.0,0.0,373.0,349.0,159.0,0.0,22.0,386.0,249.0,164.0,18.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,462.0,419.0,0.0,303.0,42.0,159.0,377.0,0.0
咸宁,2022-09-01,0.0,589.0,93.0,6.0,0.0,9.0,0.0,226.0,0.0,0.0,415.0,372.0,136.0,0.0,33.0,369.0,293.0,163.0,6.0,39.0,20.0,0.0,0.0,0.0,0.0,0.0,518.0,405.0,0.0,340.0,34.0,178.0,371.0,0.0
咸宁,2022-10-01,0.0,618.0,73.0,34.0,0.0,37.0,0.0,292.0,0.0,0.0,310.0,376.0,368.0,0.0,47.0,467.0,278.0,195.0,34.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,499.0,555.0,0.0,350.0,35.0,149.0,520.0,0.0
咸宁,2022-11-01,0.0,554.0,64.0,6.0,0.0,19.0,0.0,339.0,0.0,0.0,370.0,483.0,129.0,0.0,36.0,457.0,248.0,174.0,6.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,579.0,403.0,0.0,362.0,17.0,217.0,386.0,0.0
咸宁,2022-12-01,0.0,701.0,86.0,13.0,0.0,22.0,0.0,281.0,0.0,0.0,241.0,451.0,411.0,0.0,66.0,426.0,309.0,224.0,13.0,29.0,36.0,0.0,0.0,0.0,0.0,0.0,562.0,541.0,0.0,337.0,50.0,225.0,491.0,0.0
咸宁,2023-01-01,0.0,613.0,61.0,6.0,0.0,28.0,0.0,259.0,0.0,0.0,114.0,393.0,460.0,0.0,10.0,488.0,199.0,227.0,6.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,565.0,402.0,0.0,363.0,56.0,202.0,346.0,0.0
咸宁,2023-02-01,0.0,547.0,88.0,21.0,0.0,24.0,0.0,229.0,0.0,0.0,227.0,373.0,309.0,0.0,15.0,395.0,241.0,168.0,21.0,38.0,31.0,0.0,0.0,0.0,0.0,0.0,474.0,435.0,0.0,279.0,74.0,195.0,361.0,0.0
咸宁,2023-03-01,0.0,618.0,69.0,26.0,0.0,24.0,0.0,227.0,0.0,0.0,368.0,398.0,198.0,0.0,44.0,425.0,255.0,147.0,26.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,482.0,482.0,0.0,278.0,36.0,204.0,446.0,0.0
咸宁,2023-04-01,0.0,498.0,73.0,1.0,0.0,26.0,0.0,299.0,0.0,14.0,227.0,427.0,229.0,0.0,44.0,388.0,252.0,161.0,1.0,8.0,29.0,14.0,0.0,0.0,0.0,0.0,521.0,376.0,0.0,368.0,20.0,153.0,342.0,14.0
咸宁,2023-05-01,0.0,543.0,64.0,3.0,0.0,2.0,0.0,259.0,0.0,0.0,166.0,488.0,217.0,0.0,18.0,290.0,294.0,190.0,3.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,594.0,277.0,0.0,362.0,46.0,232.0,231.0,0.0
咸宁,2023-06-01,0.0,547.0,77.0,18.0,0.0,39.0,0.0,282.0,0.0,0.0,354.0,437.0,172.0,0.0,44.0,402.0,234.0,222.0,18.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,548.0,415.0,0.0,372.0,55.0,176.0,360.0,0.0
咸宁,2023-07-01,0.0,564.0,65.0,31.0,0.0,33.0,0.0,210.0,0.0,0.0,115.0,368.0,420.0,0.0,25.0,343.0,304.0,140.0,31.0,34.0,26.0,0.0,0.0,0.0,0.0,0.0,482.0,421.0,0.0,354.0,75.0,128.0,346.0,0.0
咸宁,2023-08-01,0.0,569.0,76.0,28.0,0.0,27.0,0.0,264.0,0.0,14.0,262.0,410.0,278.0,0.0,61.0,349.0,271.0,241.0,28.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,543.0,421.0,0.0,381.0,37.0,162.0,370.0,14.0
咸宁,2023-09-01,0.0,562.0,92.0,40.0,0.0,24.0,0.0,294.0,0.0,0.0,202.0,479.0,331.0,0.0,29.0,385.0,296.0,208.0,40.0,15.0,39.0,0.0,0.0,0.0,0.0,0.0,588.0,424.0,0.0,387.0,44.0,201.0,380.0,0.0
咸宁,2023-10-01,0.0,543.0,53.0,18.0,0.0,10.0,0.0,245.0,0.0,0.0,241.0,406.0,222.0,0.0,39.0,406.0,160.0,192.0,18.0,20.0,34.0,0.0,0.0,0.0,0.0,0.0,512.0,357.0,0.0,324.0,27.0,188.0,330.0,0.0
咸宁,2023-11-01,0.0,554.0,49.0,21.0,0.0,38.0,0.0,219.0,0.0,0.0,295.0,341.0,245.0,0.0,16.0,416.0,266.0,143.0,21.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,448.0,433.0,0.0,329.0,47.0,119.0,386.0,0.0
咸宁,2023-12-01,0.0,539.0,89.0,37.0,0.0,14.0,0.0,223.0,0.0,0.0,270.0,403.0,229.0,0.0,14.0,314.0,232.0,229.0,37.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,558.0,344.0,0.0,377.0,32.0,181.0,312.0,0.0
咸宁,2024-01-01,0.0,639.0,85.0,4.0,0.0,9.0,0.0,190.0,0.0,0.0,198.0,459.0,270.0,0.0,63.0,294.0,248.0,253.0,4.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,565.0,362.0,0.0,345.0,28.0,220.0,334.0,0.0
咸宁,2024-02-01,0.0,530.0,74.0,35.0,0.0,34.0,0.0,269.0,0.0,0.0,236.0,342.0,364.0,0.0,32.0,404.0,257.0,139.0,35.0,39.0,36.0,0.0,0.0,0.0,0.0,0.0,479.0,463.0,0.0,276.0,48.0,203.0,415.0,0.0
咸宁,2024-03-01,0.0,632.0,36.0,5.0,0.0,29.0,0.0,282.0,0.0,0.0,104.0,470.0,410.0,0.0,31.0,385.0,347.0,189.0,5.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,571.0,413.0,0.0,401.0,40.0,170.0,373.0,0.0
咸宁,2024-04-01,0.0,556.0,56.0,12.0,0.0,26.0,0.0,237.0,0.0,0.0,360.0,324.0,203.0,0.0,26.0,429.0,207.0,175.0,12.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,429.0,458.0,0.0,269.0,46.0,160.0,412.0,0.0
咸宁,2024-05-01,0.0,569.0,68.0,25.0,0.0,4.0,0.0,279.0,0.0,0.0,179.0,367.0,399.0,0.0,28.0,397.0,240.0,231.0,25.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,497.0,448.0,0.0,338.0,61.0,159.0,387.0,0.0
咸宁,2024-06-01,0.0,654.0,81.0,8.0,0.0,27.0,0.0,263.0,0.0,0.0,314.0,511.0,208.0,0.0,38.0,374.0,334.0,213.0,8.0,27.0,39.0,0.0,0.0,0.0,0.0,0.0,594.0,439.0,0.0,341.0,64.0,253.0,375.0,0.0
咸宁,2024-07-01,0.0,536.0,76.0,33.0,0.0,22.0,0.0,250.0,0.0,0.0,274.0,387.0,256.0,0.0,28.0,335.0,289.0,165.0,33.0,38.0,29.0,0.0,0.0,0.0,0.0,0.0,535.0,382.0,0.0,363.0,33.0,172.0,349.0,0.0
咸宁,2024-08-01,0.0,595.0,38.0,12.0,0.0,26.0,0.0,272.0,0.0,0.0,150.0,440.0,353.0,0.0,62.0,387.0,268.0,199.0,12.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,556.0,387.0,0.0,432.0,41.0,124.0,346.0,0.0
咸宁,2024-09-01,0.0,554.0,34.0,12.0,0.0,12.0,0.0,259.0,0.0,38.0,269.0,301.0,263.0,0.0,34.0,373.0,291.0,151.0,12.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,388.0,483.0,0.0,292.0,32.0,96.0,413.0,38.0
孝感,2022-06-01,121.0,851.0,242.0,13.0,0.0,0.0,2.0,440.0,0.0,0.0,388.0,687.0,594.0,0.0,96.0,646.0,429.0,325.0,57.0,16.0,100.0,0.0,0.0,0.0,0.0,0.0,1038.0,631.0,0.0,915.0,27.0,216.0,494.0,17.0
孝感,2022-07-01,45.0,624.0,139.0,16.0,0.0,0.0,11.0,449.0,0.0,0.0,220.0,620.0,444.0,0.0,71.0,521.0,305.0,285.0,55.0,11.0,36.0,0.0,0.0,0.0,0.0,0.0,916.0,368.0,0.0,781.0,53.0,179.0,250.0,21.0
孝感,2022-08-01,80.0,945.0,136.0,15.0,0.0,0.0,3.0,521.0,0.0,0.0,423.0,784.0,493.0,0.0,71.0,647.0,446.0,376.0,64.0,11.0,85.0,0.0,0.0,0.0,0.0,0.0,1167.0,533.0,0.0,988.0,62.0,230.0,419.0,1.0
孝感,2022-09-01,112.0,1004.0,201.0,26.0,0.0,0.0,9.0,519.0,0.0,0.0,382.0,786.0,703.0,0.0,141.0,795.0,479.0,372.0,44.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,1060.0,811.0,0.0,990.0,47.0,189.0,612.0,33.0
孝感,2022-10-01,163.0,759.0,256.0,10.0,0.0,0.0,29.0,525.0,0.0,0.0,363.0,872.0,507.0,0.0,190.0,575.0,400.0,443.0,51.0,33.0,50.0,0.0,0.0,0.0,0.0,0.0,1150.0,592.0,0.0,1119.0,49.0,208.0,354.0,12.0
孝感,2022-11-01,66.0,956.0,198.0,22.0,0.0,0.0,8.0,548.0,0.0,0.0,323.0,938.0,537.0,0.0,93.0,635.0,452.0,452.0,73.0,34.0,59.0,0.0,0.0,0.0,0.0,0.0,1238.0,560.0,0.0,1071.0,89.0,220.0,403.0,15.0
孝感,2022-12-01,177.0,1146.0,276.0,24.0,0.0,0.0,32.0,481.0,0.0,11.0,672.0,879.0,574.0,0.0,221.0,691.0,542.0,476.0,83.0,37.0,75.0,11.0,0.0,0.0,0.0,0.0,1265.0,871.0,0.0,1210.0,100.0,237.0,548.0,41.0
孝感,2023-01-01,89.0,826.0,227.0,38.0,0.0,0.0,31.0,496.0,0.0,0.0,478.0,861.0,368.0,0.0,135.0,625.0,374.0,401.0,90.0,31.0,51.0,0.0,0.0,0.0,0.0,0.0,1119.0,588.0,0.0,992.0,89.0,244.0,342.0,40.0
孝感,2023-02-01,146.0,746.0,261.0,40.0,0.0,0.0,34.0,593.0,0.0,0.0,722.0,831.0,267.0,0.0,188.0,693.0,408.0,371.0,85.0,33.0,42.0,0.0,0.0,0.0,0.0,0.0,1219.0,601.0,0.0,1171.0,79.0,222.0,343.0,5.0
孝感,2023-03-01,87.0,870.0,220.0,12.0,0.0,0.0,27.0,602.0,0.0,24.0,517.0,773.0,504.0,0.0,125.0,811.0,445.0,334.0,22.0,15.0,42.0,24.0,0.0,0.0,0.0,0.0,1022.0,796.0,0.0,882.0,72.0,251.0,582.0,31.0
孝感,2023-04-01,163.0,937.0,242.0,31.0,0.0,0.0,27.0,474.0,0.0,25.0,383.0,731.0,735.0,0.0,173.0,719.0,406.0,417.0,61.0,16.0,57.0,25.0,0.0,0.0,0.0,0.0,1081.0,793.0,0.0,1049.0,47.0,194.0,530.0,54.0
孝感,2023-05-01,110.0,887.0,191.0,14.0,0.0,0.0,6.0,529.0,0.0,16.0,389.0,891.0,441.0,0.0,139.0,731.0,313.0,435.0,24.0,24.0,55.0,16.0,0.0,0.0,0.0,0.0,1135.0,602.0,0.0,1009.0,59.0,238.0,388.0,43.0
孝感,2023-06-01,164.0,812.0,186.0,7.0,0.0,0.0,5.0,520.0,0.0,12.0,257.0,803.0,622.0,0.0,150.0,596.0,449.0,381.0,27.0,3.0,76.0,12.0,0.0,0.0,0.0,0.0,1119.0,575.0,0.0,1063.0,35.0,189.0,377.0,30.0
孝感,2023-07-01,77.0,954.0,159.0,21.0,0.0,0.0,8.0,591.0,0.0,26.0,465.0,684.0,635.0,0.0,71.0,787.0,516.0,264.0,84.0,23.0,50.0,15.0,0.0,0.0,0.0,0.0,1089.0,721.0,0.0,988.0,58.0,151.0,567.0,46.0
孝感,2023-08-01,153.0,987.0,248.0,23.0,0.0,0.0,10.0,600.0,0.0,35.0,380.0,933.0,673.0,0.0,144.0,804.0,485.0,392.0,72.0,25.0,87.0,12.0,0.0,0.0,0.0,0.0,1289.0,732.0,0.0,1162.0,74.0,261.0,450.0,74.0
孝感,2023-09-01,127.0,876.0,265.0,15.0,0.0,0.0,32.0,700.0,0.0,25.0,559.0,985.0,446.0,0.0,143.0,768.0,529.0,397.0,60.0,16.0,89.0,13.0,0.0,0.0,0.0,0.0,1375.0,640.0,0.0,1228.0,66.0,266.0,399.0,56.0
孝感,2023-10-01,82.0,1022.0,191.0,1.0,0.0,0.0,17.0,556.0,0.0,0.0,547.0,835.0,487.0,0.0,94.0,759.0,535.0,331.0,72.0,21.0,57.0,0.0,0.0,0.0,0.0,0.0,1233.0,636.0,0.0,1123.0,83.0,198.0,448.0,17.0
孝感,2023-11-01,65.0,840.0,202.0,31.0,0.0,0.0,1.0,514.0,0.0,0.0,302.0,746.0,605.0,0.0,52.0,618.0,472.0,315.0,72.0,33.0,91.0,0.0,0.0,0.0,0.0,0.0,1076.0,577.0,0.0,878.0,74.0,231.0,457.0,13.0
孝感,2023-12-01,144.0,924.0,244.0,22.0,0.0,0.0,24.0,571.0,0.0,31.0,349.0,856.0,693.0,0.0,178.0,707.0,512.0,400.0,49.0,12.0,59.0,12.0,0.0,0.0,0.0,0.0,1142.0,787.0,0.0,1115.0,78.0,182.0,491.0,63.0
孝感,2024-01-01,164.0,926.0,282.0,37.0,0.0,0.0,24.0,491.0,0.0,28.0,685.0,765.0,446.0,0.0,183.0,718.0,464.0,354.0,85.0,28.0,79.0,13.0,0.0,0.0,0.0,0.0,1127.0,797.0,0.0,1084.0,78.0,209.0,509.0,44.0
孝感,2024-02-01,119.0,1051.0,251.0,36.0,0.0,0.0,40.0,509.0,0.0,0.0,683.0,964.0,359.0,0.0,122.0,695.0,518.0,477.0,90.0,14.0,90.0,0.0,0.0,0.0,0.0,0.0,1265.0,741.0,0.0,1156.0,95.0,230.0,507.0,18.0
孝感,2024-03-01,114.0,891.0,210.0,33.0,0.0,0.0,22.0,431.0,0.0,23.0,463.0,757.0,458.0,0.0,130.0,623.0,394.0,380.0,64.0,29.0,81.0,0.0,0.0,0.0,0.0,0.0,1042.0,659.0,0.0,986.0,45.0,154.0,454.0,62.0
孝感,2024-04-01,102.0,994.0,133.0,19.0,0.0,0.0,16.0,498.0,0.0,0.0,382.0,803.0,577.0,0.0,119.0,693.0,513.0,329.0,51.0,14.0,43.0,0.0,0.0,0.0,0.0,0.0,1016.0,746.0,0.0,910.0,86.0,211.0,517.0,38.0
孝感,2024-05-01,121.0,742.0,297.0,46.0,0.0,0.0,15.0,497.0,0.0,31.0,353.0,810.0,524.0,0.0,147.0,678.0,330.0,447.0,59.0,4.0,53.0,0.0,0.0,0.0,0.0,0.0,1041.0,677.0,0.0,942.0,63.0,228.0,460.0,25.0
孝感,2024-06-01,118.0,710.0,227.0,23.0,0.0,0.0,25.0,546.0,0.0,26.0,439.0,810.0,374.0,0.0,155.0,588.0,399.0,351.0,55.0,11.0,90.0,0.0,0.0,0.0,0.0,0.0,1049.0,600.0,0.0,919.0,66.0,251.0,375.0,38.0
孝感,2024-07-01,120.0,865.0,209.0,24.0,0.0,0.0,15.0,485.0,0.0,11.0,573.0,801.0,333.0,0.0,149.0,580.0,413.0,446.0,68.0,3.0,59.0,0.0,0.0,0.0,0.0,0.0,1115.0,603.0,0.0,1024.0,96.0,211.0,366.0,21.0
孝感,2024-08-01,117.0,910.0,240.0,24.0,0.0,0.0,2.0,599.0,0.0,40.0,498.0,855.0,499.0,0.0,120.0,769.0,485.0,341.0,55.0,36.0,86.0,0.0,0.0,0.0,0.0,0.0,1229.0,663.0,0.0,1071.0,57.0,262.0,432.0,70.0
孝感,2024-09-01,161.0,877.0,242.0,10.0,0.0,0.0,31.0,403.0,0.0,65.0,357.0,821.0,481.0,0.0,177.0,634.0,310.0,469.0,64.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,1023.0,701.0,0.0,979.0,88.0,217.0,350.0,90.0
宜昌,2022-06-01,77.0,2484.0,679.0,233.0,0.0,194.0,57.0,1245.0,0.0,38.0,1141.0,2729.0,1061.0,0.0,185.0,1449.0,1202.0,968.0,375.0,189.0,300.0,215.0,86.0,0.0,0.0,0.0,3401.0,1568.0,0.0,1914.0,159.0,1487.0,1109.0,300.0
宜昌,2022-07-01,90.0,1569.0,423.0,158.0,0.0,99.0,26.0,909.0,0.0,32.0,775.0,1656.0,811.0,0.0,167.0,925.0,822.0,660.0,184.0,146.0,131.0,178.0,61.0,0.0,0.0,0.0,2145.0,1129.0,0.0,1228.0,195.0,917.0,740.0,194.0
宜昌,2022-08-01,92.0,2323.0,701.0,339.0,0.0,144.0,32.0,1418.0,0.0,39.0,1073.0,2738.0,1199.0,0.0,119.0,1591.0,987.0,925.0,440.0,179.0,343.0,382.0,83.0,0.0,0.0,0.0,3548.0,1501.0,0.0,1927.0,243.0,1621.0,973.0,285.0
宜昌,2022-09-01,86.0,2344.0,646.0,338.0,0.0,101.0,42.0,1261.0,0.0,57.0,1048.0,2463.0,1250.0,0.0,216.0,1282.0,1044.0,917.0,395.0,300.0,259.0,327.0,78.0,0.0,0.0,0.0,3294.0,1524.0,0.0,1776.0,175.0,1518.0,940.0,409.0
宜昌,2022-10-01,108.0,2610.0,708.0,363.0,0.0,184.0,21.0,1239.0,0.0,68.0,989.0,2873.0,1303.0,0.0,188.0,1428.0,1328.0,926.0,418.0,171.0,230.0,406.0,138.0,0.0,0.0,0.0,3492.0,1741.0,0.0,1878.0,256.0,1614.0,1113.0,372.0
宜昌,2022-11-01,102.0,2502.0,555.0,358.0,0.0,165.0,31.0,1006.0,0.0,84.0,866.0,2488.0,1281.0,0.0,184.0,1405.0,954.0,987.0,214.0,217.0,191.0,389.0,178.0,0.0,0.0,0.0,3087.0,1632.0,0.0,1644.0,277.0,1443.0,987.0,368.0
宜昌,2022-12-01,76.0,2785.0,521.0,276.0,0.0,89.0,29.0,1165.0,0.0,92.0,995.0,2681.0,1173.0,0.0,131.0,1171.0,1291.0,949.0,279.0,304.0,205.0,522.0,89.0,0.0,0.0,0.0,3151.0,1790.0,0.0,1432.0,146.0,1719.0,1260.0,384.0
